,time,L,xtilde,ztilde,ws,network,gtilde,htilde,curr_grad,ds,oracle,regret
0,0.0,0.0,0.0,0.24334947062292958,0.0,0.23994445743861134,0.0707718747290061,0.24825717555327478,124.67717647058822,0.24480083184137155,0.4896016636827431,1.8547775464362122
1,0.0,1.0,0.20048207047940156,0.41365286299957144,8.0,0.3689450469683391,0.05196906022043399,0.36674586093428696,94.1726116759529,0.36097564958425804,0.7219512991685161,1.8547775464362122
2,0.0,2.0,0.11934496044429821,0.27456646815544333,4.184326343131308,0.24502876149846922,0.07369330064521895,0.2498148396356841,104.21875166614564,0.241413821394208,0.482827642788416,1.8547775464362122
3,0.0,3.0,0.06357597029253703,0.10976661428646584,2.830019174332315,0.09529129506765448,0.05095047263038026,0.10497292846394357,71.1744233420461,0.09126277068499526,0.18252554136999052,1.8547775464362122
4,0.0,4.0,0.049043474799446755,0.0534191144701701,2.0713472080467783,0.03429198910949732,0.02833256724826797,0.037878656826537745,44.64284683296411,0.02632227697702598,0.05264455395405196,1.8547775464362122
5,0.0,5.0,0.04075102556063968,0.040814949955150275,1.6274335912875977,0.022850066075019534,0.011280366160653404,0.011685286532225104,15.789686317999175,0.00856376259002877,0.01712752518005754,1.8547775464362122
6,0.0,6.0,0.04023249971657153,0.04026779548362233,1.3523750550625178,0.023180040016748334,0.012028840885891741,0.012073708571558366,18.039547374165014,0.00921554342659897,0.01843108685319794,1.8547775464362122
7,0.0,7.0,0.0334290278322553,0.03342991749163951,1.162725748585784,0.01735795716185583,0.009869074934439375,0.009863734516760548,11.375794220207196,0.008495955913513098,0.016991911827026196,1.8547775464362122
8,0.0,8.0,0.0278511523131167,0.027851254682962647,1.0151882125166243,0.014838010568048185,0.013737867212753111,0.013737977764083822,15.36488708141547,0.00969353637576449,0.01938707275152898,1.8547775464362122
9,0.0,9.0,0.02132689404289574,0.02132688059753503,0.9020782316160431,0.01188036603054446,0.008656327860732243,0.008656350776234624,11.473926925153018,0.0062074045753396844,0.012414809150679369,1.8547775464362122
10,0.0,10.0,0.020176500642888326,0.020176500657171574,0.8106923294274903,0.012225196472133987,0.009025759100699526,0.009025759119643019,9.9646873738559,0.006166538397397236,0.012333076794794472,1.8547775464362122
11,0.0,11.0,0.021603777745434732,0.02160377776065486,0.7383865422473948,0.012212277597972441,0.006299236673390034,0.006299236672476783,7.306707364939362,0.003196222879263372,0.006392445758526744,1.8547775464362122
12,0.0,12.0,0.018529132688632884,0.01852913268927006,0.6778227301857269,0.009569613355484122,0.002163957785662936,0.0021639577853448523,2.3684100259343084,0.001789298228775885,0.00357859645755177,1.8547775464362122
13,0.0,13.0,0.01552376257866201,0.015523762578694505,0.6242181046358309,0.010368203905940296,0.005158264690869402,0.005158264690878298,5.216950664315133,0.003189900498425622,0.006379800996851244,1.8547775464362122
14,0.0,14.0,0.016090864061389827,0.01609086406139023,0.581020843089037,0.008397193516647758,0.005626655535247139,0.005626655535247395,7.004568640861549,0.003514874951661643,0.007029749903323286,1.8547775464362122
15,0.0,15.0,0.013978106273012474,0.013978106273012478,0.5411707139488718,0.007336518274406485,0.004863431276815026,0.004863431276815024,6.732301675140649,0.003618499226028775,0.00723699845205755,1.8547775464362122
16,0.0,16.0,0.012808064609516938,0.012808064609516941,0.5068641018146911,0.008115536511436008,0.0034775475325659155,0.0034775475325659164,4.0537028380870845,0.003131221459524998,0.006262442919049996,1.8547775464362122
17,0.0,17.0,0.012669225477318172,0.012669225477318172,0.47821664145396403,0.006915544199339026,0.0029072487891719993,0.0029072487891719993,4.253546297147711,0.0016713488861489945,0.003342697772297989,1.8547775464362122
18,0.0,18.0,0.012420447816273337,0.012420447816273337,0.4509757917438203,0.006882210940946744,0.003221631479705104,0.003221631479705104,2.6842627768656655,0.0019019471460695332,0.0038038942921390663,1.8547775464362122
19,0.0,19.0,0.011073238379551464,0.011073238379551464,0.42756606397234337,0.006180339471311432,0.003941417404141858,0.003941417404141858,5.028826049744321,0.0025240845468027934,0.005048169093605587,1.8547775464362122
20,0.0,20.0,0.00985401355530445,0.00985401355530445,0.40586575762499943,0.006525903105474806,0.003675176786815155,0.003675176786815155,4.606292937280826,0.002031580837570854,0.004063161675141708,1.8547775464362122
21,0.0,21.0,0.008721459271445785,0.008721459271445785,0.3871675267671184,0.005706503685793918,0.004319435616538363,0.004319435616538363,7.531686921349463,0.0017050788771084736,0.003410157754216947,1.8547775464362122
22,0.0,22.0,0.009498782573509378,0.009498782573509378,0.36908348079098496,0.005186056834069819,0.003948927853142955,0.003948927853142955,3.821201798430682,0.0024348397485072864,0.004869679497014573,1.8547775464362122
23,0.0,23.0,0.008733616663997187,0.008733616663997187,0.35278470994869965,0.0043506087348326675,0.004452045814783178,0.004452045814783178,4.097835411119967,0.00260589074853195,0.0052117814970639,1.8547775464362122
24,0.0,24.0,0.00844798636612186,0.00844798636612186,0.33749847632855684,0.004663355652728956,0.004165435193641857,0.004165435193641857,4.4697760073664705,0.0022925389257942123,0.004585077851588425,1.8547775464362122
25,0.0,25.0,0.00809651064926809,0.00809651064926809,0.3244768214266198,0.004976132321443621,0.0030073032948835974,0.0030073032948835974,3.408720138988393,0.002276756913825426,0.004553513827650852,1.8547775464362122
26,0.0,26.0,0.008721297390770405,0.008721297390770405,0.3124770503090802,0.004890289158854719,0.0020136166312945745,0.0020136166312945745,2.5689582101255777,0.0016134771140642202,0.0032269542281284404,1.8547775464362122
27,0.0,27.0,0.007503569574911564,0.007503569574911564,0.3010054636344528,0.0043604544194444875,0.0012995659114589302,0.0012995659114589302,2.3281140399357674,0.0017892208721590175,0.003578441744318035,1.8547775464362122
28,0.0,28.0,0.00759615520737712,0.00759615520737712,0.28991900961875,0.004463887425131897,0.0030311622149210896,0.0030311622149210896,3.21569088821522,0.0016374874433341628,0.0032749748866683255,1.8547775464362122
29,0.0,29.0,0.008733554810193205,0.008733554810193205,0.2801720292380583,0.004342235746870571,0.0038766638134501703,0.0038766638134501703,4.793194478586057,0.0018592708064412765,0.003718541612882553,1.8547775464362122
30,0.0,30.0,0.006480794041137839,0.006480794041137839,0.27086416122197443,0.0037524264240090996,0.003938249839527177,0.003938249839527177,5.602252840408199,0.002245206818219416,0.004490413636438832,1.8547775464362122
31,0.0,31.0,0.006211454244807734,0.006211454244807734,0.2616958965393635,0.0032978607468993,0.0030846791868494173,0.0030846791868494173,4.119722667320204,0.0011186227026594097,0.0022372454053188194,1.8547775464362122
32,0.0,32.0,0.007753586430925738,0.007753586430925738,0.2531948025985589,0.004416490470887228,0.0024506870254629317,0.0024506870254629317,1.8857855767789655,0.001908951831826932,0.003817903663653864,1.8547775464362122
33,0.0,33.0,0.0063892198599891075,0.0063892198599891075,0.2467068998505575,0.003857091493284713,0.0026485582857587843,0.0026485582857587843,2.8513466579287736,0.002138313765560904,0.004276627531121808,1.8547775464362122
34,0.0,34.0,0.005955398798530055,0.005955398798530055,0.23903240802036949,0.0038973659373226816,0.0034990771946165505,0.0034990771946165505,3.6402332745174353,0.0017781526980243686,0.0035563053960487373,1.8547775464362122
35,0.0,35.0,0.0060109478972398545,0.0060109478972398545,0.2323394322461127,0.003482947936149216,0.0014380072003973101,0.0014380072003973101,2.3098696465590334,0.001280236718621681,0.002560473437243362,1.8547775464362122
36,0.0,36.0,0.005437975736499125,0.005437975736499125,0.2255773530981681,0.002912657966567418,0.0014613214915785366,0.0014613214915785366,1.7832350106928454,0.0007524792507802681,0.0015049585015605362,1.8547775464362122
37,0.0,37.0,0.006090130432843048,0.006090130432843048,0.21904933563892137,0.0031624450693300294,0.0023789550786100957,0.0023789550786100957,3.7732993679224496,0.0010279829650290673,0.0020559659300581345,1.8547775464362122
38,0.0,38.0,0.005796034230790123,0.005796034230790123,0.213605538620137,0.0032828204102719485,0.003137392478359256,0.003137392478359256,3.116056240489279,0.0006641615035983014,0.0013283230071966029,1.8547775464362122
39,0.0,39.0,0.0054995449764672745,0.0054995449764672745,0.20832685065616224,0.003180337826130079,0.0025348799320937666,0.0025348799320937666,3.3249253788938957,0.0011412398126890043,0.0022824796253780085,1.8547775464362122
40,0.0,40.0,0.004870577003677767,0.004870577003677767,0.2031008293804769,0.002896209159924198,0.0021449237129531236,0.0021449237129531236,2.136547882234069,0.0012366189793036747,0.0024732379586073494,1.8547775464362122
41,0.0,41.0,0.005894816197684487,0.005894816197684487,0.19794752113163355,0.003234602847298702,0.002074743622565148,0.002074743622565148,2.299364175710583,0.001524091000055959,0.003048182000111918,1.8547775464362122
42,0.0,42.0,0.004805756742192379,0.004805756742192379,0.19363213765564613,0.002975245773902614,0.0009352666236214194,0.0009352666236214194,1.511285875086136,0.0009942559388250976,0.0019885118776501952,1.8547775464362122
43,0.0,43.0,0.005041324914733089,0.005041324914733089,0.18894167466001877,0.0027546438169930147,0.0011883253187435093,0.0011883253187435093,1.3393186541842692,0.0006440566281507884,0.0012881132563015768,1.8547775464362122
44,0.0,44.0,0.004919662878057495,0.004919662878057495,0.18451022009387968,0.00282771900255159,0.001379018035183326,0.001379018035183326,1.7800209027809986,0.000990327842260164,0.001980655684520328,1.8547775464362122
45,0.0,45.0,0.004251161442043882,0.004251161442043882,0.1805426585802728,0.0022159434744504544,0.0008535256946323077,0.0008535256946323077,0.8756546899772812,0.0014214951097403213,0.0028429902194806425,1.8547775464362122
46,0.0,46.0,0.0040697299927159435,0.0040697299927159435,0.17607902756240293,0.002541338822358956,0.0016255121120962155,0.0016255121120962155,1.5007112359975612,0.0006010645502518991,0.0012021291005037981,1.8547775464362122
47,0.0,47.0,0.004270736092953464,0.004270736092953464,0.1727000337410325,0.0024006691469213724,0.001007590133677807,0.001007590133677807,1.3203274769741689,0.0005936595328968935,0.001187319065793787,1.8547775464362122
48,0.0,48.0,0.004443179133785721,0.004443179133785721,0.1690173218730268,0.0025230662334211284,0.0014117655821060718,0.0014117655821060718,2.0658160952260474,0.0010690441377510928,0.0021380882755021855,1.8547775464362122
