,time,L,xtilde,ztilde,ws,network,gtilde,htilde,curr_grad,ds,oracle,regret
0,0.0,0.0,0.0,0.24158446860938684,0.0,0.23683287266047978,559.6012758737539,559.6150431765132,124.67717647058822,546.4392804378664,1092.8785608757328,
1,0.0,1.0,1933.3526043827483,1933.3685107282768,8.0,1068.0542032018855,4957.131771676323,4957.1322914764805,546.9484884395268,5064.188809153233,10128.377618306466,
2,0.0,2.0,5132.110977141312,5132.118059233254,538.0271016009427,4229.789086004135,48641.71228302609,48641.709452353556,5064.149048427671,48579.46156602613,97158.92313205227,
3,0.0,3.0,23445.39021768436,23445.38879343542,2822.5260573360947,20213.15964396577,386885.74035718135,386885.73197433935,48579.46489662929,388659.0038134145,777318.007626829,
4,0.0,4.0,135648.40728911673,135648.40691948088,15161.869732974323,124491.13173016509,4032609.8814413804,4032609.88144566,388659.197604539,,,
5,0.0,5.0,965947.1451415878,965947.1453099352,99594.50538413206,886636.4980505902,,,,,,
6,0.0,6.0,6013345.698708411,6013345.6987099815,738865.0817088244,5629819.096443956,,,,,,
7,0.0,7.0,47489617.98218464,47489617.982185125,4825558.08266625,44619231.28145679,,,,,,
8,0.0,8.0,339318676.90566003,339318676.90566,39041828.37127467,327017545.6246614,,,,,,
9,0.0,9.0,2790878626.1909575,2790878626.1909575,290682261.8885885,2712005394.4678674,,,,,,
10,0.0,10.0,18820281417.04147,18820281417.04147,2440804854.2210784,18700121306.832096,,,,,,
11,0.0,11.0,148229240288.78445,148229240288.78445,17000110279.665564,146788829322.8132,,,,,,
12,0.0,12.0,1168157944000.4995,1168157944000.4995,134556426879.91208,1178340792490.4668,,,,,,
13,0.0,13.0,10566912711286.637,10566912711286.637,1087699193067.5088,10678411704709.775,,,,,,
14,0.0,14.0,88471009894856.22,88471009894856.22,9915668011515.627,88745656509350.52,,,,,,
15,0.0,15.0,811314689462780.1,811314689462780.1,82829279408727.5,813422279996637.4,,,,,,
16,0.0,16.0,6611331496852682.0,6611331496852682.0,762583387496848.5,6631928085032616.0,,,,,,
17,0.0,17.0,5.876322578562737e+16,5.876322578562737e+16,6241814668265989.0,5.902439834581306e+16,,,,,,
18,0.0,18.0,5.097044309216056e+17,5.097044309216056e+17,5.574526510437888e+16,5.1182963080772506e+17,,,,,,
19,0.0,19.0,4.192468553496465e+18,4.192468553496465e+18,4.84891229186265e+17,4.1953164012661437e+18,,,,,,
20,0.0,20.0,3.6431549541664854e+19,3.6431549541664854e+19,3.9855505812028334e+18,3.6377328539373306e+19,,,,,,
21,0.0,21.0,3.3415763494767264e+20,3.3415763494767264e+20,3.4645074799403176e+19,3.338230488326986e+20,,,,,,
22,0.0,22.0,3.162583664712214e+21,3.162583664712214e+21,3.186492738857576e+20,3.156884243045379e+21,,,,,,
23,0.0,23.0,2.7409243748668424e+22,2.7409243748668424e+22,3.019628406391232e+21,2.7376902104620607e+22,,,,,,
24,0.0,24.0,1.9798262006888028e+23,1.9798262006888028e+23,2.6236197850261355e+22,1.9766636416958632e+23,,,,,,
25,0.0,25.0,1.6485079008741954e+24,1.6485079008741954e+24,1.897597096028027e+23,1.646218928638124e+24,,,,,,
26,0.0,26.0,1.3443659929730244e+25,1.3443659929730244e+25,1.5829028159981952e+24,1.343044104831999e+25,,,,,,
27,0.0,27.0,1.1560239098979903e+26,1.1560239098979903e+26,1.2933017305789611e+25,1.1551275259433043e+26,,,,,,
28,0.0,28.0,9.876855782817736e+26,9.876855782817736e+26,1.1138729714453282e+26,9.866522559160435e+26,,,,,,
29,0.0,29.0,8.089228656204441e+27,8.089228656204441e+27,9.526297643327317e+26,8.089460164627542e+27,,,,,,
30,0.0,30.0,7.095370988011414e+28,7.095370988011414e+28,7.819811492473288e+27,7.09776907390706e+28,,,,,,
31,0.0,31.0,5.786577013974839e+29,5.786577013974839e+29,6.868808781200393e+28,5.789080363958575e+29,,,,,,
32,0.0,32.0,5.462807443960458e+30,5.462807443960458e+30,5.608171602584866e+29,5.463626286074791e+30,,,,,,
33,0.0,33.0,4.599696549716045e+31,4.599696549716045e+31,5.298061853163428e+30,4.600777910514176e+31,,,,,,
34,0.0,34.0,3.8614826638801676e+32,3.8614826638801676e+32,4.4654609131460995e+31,3.862272305574071e+32,,,,,,
35,0.0,35.0,3.188794167663299e+33,3.188794167663299e+33,3.7519216682719504e+32,3.189583722874015e+33,,,,,,
36,0.0,36.0,2.790691202953676e+34,2.790691202953676e+34,3.100984175016402e+33,2.7913957488854615e+34,,,,,,
37,0.0,37.0,2.4202616956891806e+35,2.4202616956891806e+35,2.7159526205372087e+34,2.420993529183722e+35,,,,,,
38,0.0,38.0,1.8730809500961668e+36,1.8730809500961668e+36,2.357283173152575e+35,1.8735500910782206e+36,,,,,,
